,评论,分类
583,第一次买花西子 好看 不舍的用😂,颜色分类:【剑网3比翼相思联名】 M122 相思绣
584,收到了商家还细心的放了冰袋降温怕天气太热口红融化了,颜色分类:M123伯牙绣（宝石樱红）
585,不错不错包装很好 东西很精致,颜色分类:M116彤心绣（烂番茄色）
586,徒弟很喜欢，很精致有点舍不得用，打算给自己也买一只,颜色分类:【剑网3比翼相思联名】 M122 相思绣
587,太好看了！反正就是好看！芳华是个小可爱！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
588,非常非常好，下次还买，这个口红特别棒,颜色分类:M408子期绣（红柚豆沙）
589,颜色很正，也有滋润度，物流也很快，支持国产品牌,颜色分类:M122绛仙绣（红棕焦糖）
590,物流速度还可以，短信通知有冰袋的，实际没有而，客服还给我解释一大堆也没给出处理结果，还让我拆开看看，这礼物要送人的。,颜色分类:M122绛仙绣（红棕焦糖）
591,包装挺好的 女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
592,包装很用心，看着就不错！,颜色分类:M123伯牙绣（宝石樱红）
593,很棒，很喜欢,颜色分类:M408子期绣（红柚豆沙）
594,雕花精美，切口适合东方人的薄唇，没有气味，之前买过的欧美品牌都有很浓的香气。豆沙色比较适合日常，服帖。,颜色分类:M408子期绣（红柚豆沙）
595,看起来包装超级好，很爱,颜色分类:M116彤心绣（烂番茄色）
596,送人的，快递盒挺精致的，还有冰袋，可能是怕气温高影响了口红的雕花，挺好的，送了卸妆湿巾,颜色分类:M116彤心绣（烂番茄色）
597,感觉实物比图片更好看，价格和质量成正比，这次购物非常满意，喜欢的宝宝赶紧下手。,颜色分类:M119湘妃绣（胡萝卜色）
598,整体评价：包装很好，口红用真空袋包裹的，外观非常非常beautiful 保湿效果：持久，  唇膏质地：轻盈，适合  上嘴效果：哑光，显白 实物颜色：没得色差，很适合 推荐购买，真不愧是花西子。快递小哥也很棒！,颜色分类:M408子期绣（红柚豆沙）
599,很复古的颜色，挺好看的,颜色分类:M124知音绣（栗子红棕）
600,送给闺蜜的七夕礼物，自己也买了一只，棒棒哒，雕花很精致,颜色分类:M407玉棠绣（微糖豆沙）
601,口红收到了 很喜欢 下次会再次光顾的,颜色分类:M408子期绣（红柚豆沙）
602,真的很好看，领导很满意，雕花的技术太棒了，整体很复古，口红的包装在复古点更好看，给我回答问题的慕青小客服非常感谢哦真是个小可爱，下次还找你！么么👄,颜色分类:M119湘妃绣（胡萝卜色）
603,真的很好看，领导很满意，雕花的技术太棒了，整体很复古，口红的包装在复古点更好看，给我回答问题的慕青小客服非常感谢哦真是个小可爱，下次还找你！么么👄,颜色分类:M117红鸾绣（正红色）
604,物流很快，包的也很严实，没有损伤，口红很好看，送的东西也很棒，非常满意。,颜色分类:【剑网3比翼相思联名】 M122 相思绣
605,整体评价：好，非常满意 保湿效果：很好好 唇膏质地：好，滑 上嘴效果：好 实物颜色：准确,颜色分类:M119湘妃绣（胡萝卜色）
606,好好看颜色都还不错可以的很棒,颜色分类:M116彤心绣（烂番茄色）
607,很喜欢包装，特别精美。,颜色分类:M123伯牙绣（宝石樱红）
608,包装很贴心，口红也很好,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
609,东西很不错，颜色很漂亮,颜色分类:M408子期绣（红柚豆沙）
610,还可以 做工不用说  很精致 只是过上一上午 嘴唇会干 没有一开始水润,颜色分类:M116彤心绣（烂番茄色）
611,送妈咪的礼物，没拆口红，但是不得不说很用心，有冰袋，很大一个盒子就为了一只小口红服务,颜色分类:M117红鸾绣（正红色）
612,特别好看，雕花特别细致,颜色分类:M122绛仙绣（红棕焦糖）
613,好看好看，就是图案有点小,颜色分类:【剑网3比翼相思联名】 M122 相思绣
614,之前就有朋友推荐过这款口红，所以打算买来试一下，涂上很好看，很滋润也不干,颜色分类:M122绛仙绣（红棕焦糖）
615,美女推荐这个色，真喜欢，感谢直播美女,颜色分类:M407玉棠绣（微糖豆沙）
616,实物非常漂亮，一会儿上唇试试,颜色分类:M406檀心绣（豆沙色）
617,口红很好用，非常精致，超级喜欢，颜色也很好看。（拢月是个小可爱）,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
618,已经收到了外装精细，涂上也很滋润，拿到手上也很有质感，超级好呀，满意,颜色分类:M119湘妃绣（胡萝卜色）
619,宝贝收到了很好很漂亮这次购物很满意,颜色分类:M122绛仙绣（红棕焦糖）
620,精致！喜欢！为秀姐打call！买它！！！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
621,整体评价：非常好 保湿效果：不干 上嘴效果：显色度好 实物颜色：颜色非常正,颜色分类:M122绛仙绣（红棕焦糖）
622,产品包装精致美观大气，目前用着非常不错，真实评价，希望可以帮到集美们,颜色分类:M116彤心绣（烂番茄色）
623,开始是被它的外表惊艳，咨询客服后果断买了116号色，真的超级漂亮。我是偏黄肤色，客服夏末建议入手116。果然不挑肤色，还很显白，口红一点都不干，实物颜色没有色差，厚涂就是图片的颜色，我是薄涂，很适合日常素颜涂。而且色泽很饱满。包装更是完美，客服也很耐心。总之就是非常满意！,颜色分类:M116彤心绣（烂番茄色）
624,看了抖音，认识花西子，超级喜欢花西子的东西,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
625,买来送给女朋友的，目测还不错👍,颜色分类:M121凤鸾绣（经典正红色）
626,超级绝啊！！！颜色还没有试，雕花超级好看啊啊啊啊啊啊,颜色分类:【剑网3比翼相思联名】 M122 相思绣
627,包装特别精致，特别好用的一款口红💄,颜色分类:M119湘妃绣（胡萝卜色）
628,口红收到了，真的是太惊喜了，包装很精致，口红居然是带着冰袋来的，侧面的雕花太美了，都舍不得用，还送的很多赠品，好开心😉,颜色分类:M121凤鸾绣（经典正红色）
629,这雕花也太精致了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
630,口红非常喜欢，颜色好看，而且膏体上嘴感觉很滑，一点也不干，最爱的是雕花，对这次购物很满意。,颜色分类:M115御宫绣（复古红）
631,送女朋友的生日礼物  包装挺精致的   外环大气,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
632,好精致的口红，无论外包装还是口红本身，都透着高级感。重点是不干，很润，颜色好看，瞬间提升丝质。买了两只，颜色差不多，一只送闺蜜，那个金丝绒的盒子好看的不要不要的，送人太有面子。以后就是你家花粉了。,颜色分类:M122绛仙绣（红棕焦糖）
633,太惊喜啦！！！！包装超级高级！！！口红好用(✪▽✪)还送了卸妆巾！！！,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
634,感觉还不错挺好的必须好评送的小礼物也不错很喜欢,颜色分类:M119湘妃绣（胡萝卜色）
635,很喜欢花西子的产品，这次的雕花口红很喜欢,颜色分类:M408子期绣（红柚豆沙）
636,整体评价：非常好，包装特别精致。 保湿效果：很好。 唇膏质地：非常的细腻。 上嘴效果：精致好看。 实物颜色：特别纯正。,颜色分类:M117红鸾绣（正红色）
637,发货非常快，比我先下单的到的还快，给妈妈买的礼物还没有拆，等拆的时候再来发色号，包装好看，满满中国风,颜色分类:M406檀心绣（豆沙色）
638,颜色非常棒，做工也好，很喜欢。,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
639,宝贝真不错，做的真细心，值得拥有，快递很快,颜色分类:M408子期绣（红柚豆沙）
640,此用户没有填写评论!,颜色分类:M117红鸾绣（正红色）
641,第一次买花西子 从拆快递开始就是满满的仪式感 购物体验太好了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
642,这个口红不错，一直在用，包装好看，保湿效果好   很显白,颜色分类:M119湘妃绣（胡萝卜色）
643,先不说别的  就这包装也太精美了  支持国货,颜色分类:M123伯牙绣（宝石樱红）
644,整体评价：包装设计风格独特设计非常精致优雅大方，,颜色分类:M408子期绣（红柚豆沙）
645,收到口红啦，花西子家老顾客啦，每次都是买花西子产品当作生日礼物送朋友😂口红超棒,颜色分类:M122绛仙绣（红棕焦糖）
646,心心念念的口红到了，这颜色我是真的爱了，是我最喜欢的颜色！！！太好看了，有点舍不得用了。姐妹们你们真的不要来一只吗？,颜色分类:【剑网3比翼相思联名】 M122 相思绣
647,宝贝收到了很喜欢；颜色也很正，物流给力,颜色分类:M116彤心绣（烂番茄色）
648,好看！gww记得给我出奇遇哦,颜色分类:【剑网3比翼相思联名】 M122 相思绣
649,就很nice 想买好久了 送给同学一个 自己又入手一个,颜色分类:M122绛仙绣（红棕焦糖）
650,挺香，雕花很好看！超显白！,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
651,还没上嘴，但是涂在手上纹已经感觉到水润了，质感很好，国货果然不错，而且香香的，雕花简直爱了爱了,颜色分类:M122绛仙绣（红棕焦糖）
652,天气有点热 膏体有点软了 雕花很美 可惜有点花掉了 颜色hin好看 壮哉我大剑三❤️,颜色分类:【剑网3比翼相思联名】 M122 相思绣
653,剑三和口红联名就是让我买买买！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
654,看着就让人心情好，雕工很细腻。是我的喜欢的颜色还买了花西子的眉笔。希望再次回购,颜色分类:M119湘妃绣（胡萝卜色）
655,口红好漂亮！艺术品，超级喜欢！！,颜色分类:M406檀心绣（豆沙色）
656,包装精美，产品非常,颜色分类:M407玉棠绣（微糖豆沙）
657,试了个色人傻了，乖乖放冰箱冻起来了_(：з」&ang;)_,颜色分类:【剑网3比翼相思联名】 M122 相思绣
658,整体评价：外观很高大上，浮雕很精致，色号很正。女朋友非常喜欢。下次一定要买个套盒送女朋友。,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
659,还可以，对我来说有些过于滋润了,颜色分类:M119湘妃绣（胡萝卜色）
660,好看，包装很好看,颜色分类:M408子期绣（红柚豆沙）
661,整体评价：浮雕的口红是第一次入手，挺美貌的。听推荐选的胡萝卜色，黄皮日常可用，显白，也不突兀，我反正觉得这款国货挺好的。比起某些大牌口红一支四五百，这家的价格亲民又好用。,颜色分类:M119湘妃绣（胡萝卜色）
662,颜色还可以，就是掉色太严重，咬什么东西上面全部都是口红&hellip;&hellip;,颜色分类:M123伯牙绣（宝石樱红）
663,她收到后很高兴，立刻都试了，而且这口红脸上上色效果不错，味道也不错(别问我为啥知道，你买了你也会知道的),颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
664,花西子真的从未让我失望过  拆快递盒的时候都是一种享受 口红真的无比好看 颜色也不错非常霸气 爱了爱了 都不舍得用了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
665,支持我大剑网3！信仰充值！一只收藏一只用，完美！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
666,特别喜欢宝贝，速度快，东西好，店家也特别细心，里面还送东西了，下次还买。,颜色分类:M408子期绣（红柚豆沙）
667,超级棒哒！送给妈妈她很喜欢的。,颜色分类:M117红鸾绣（正红色）
668,雕花真的很好看了，就是感觉自己手抖一直拍糊了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
669,超级棒，女朋友炒鸡喜欢,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
670,上嘴颜色太好看了，也不拔干,颜色分类:【剑网3比翼相思联名】 M122 相思绣
671,非常好，物流非常快，包装也非常精致。第一次给妈妈买口红，妈妈收到后很开心也很喜欢。,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
672,整体评价：外观彻底吸引了我，对它的喜爱无法自拔。雕花太美了，百看不厌啊 保湿效果：本人属于唇特别特别干的那种，需要润唇膏打底 唇膏质地：第一次买口红，真不懂质地怎么形容，挺喜欢就行 上嘴效果：这个&hellip;&hellip;&hellip;额，也不会形容。对于黑皮的我来说，需要带妆，才能驾驭得了它,颜色分类:M122绛仙绣（红棕焦糖）
673,花西子包装真是上档次，一层层一层层的剥开。这个口红盒子真不错，本来说好了不要盒子，要湿巾，谁知道还是盒子。没想到盒子真不赖。,颜色分类:M408子期绣（红柚豆沙）
674,花西子包装真是上档次，一层层一层层的剥开。这个口红盒子真不错，本来说好了不要盒子，要湿巾，谁知道还是盒子。没想到盒子真不赖。,颜色分类:M115御宫绣（复古红）
675,下不去手破坏这个美感。,颜色分类:【剑网3比翼相思联名】 M122 相思绣
676,颜色非常好看。剑三的门派雕花也很好看。就是因为夏天的原因冰袋化了东西都湿了，姐妹们当心,颜色分类:【剑网3比翼相思联名】 M122 相思绣
677,太好看了叭！门派logo好喜欢呀～,颜色分类:【剑网3比翼相思联名】 M122 相思绣
678,颜色很好看，花雕有14门派！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
679,这个颜色，真的是惊艳到我了，本来遇到了一些小插曲，好在售后已经解决了，点名表扬念露和白薇两位客服小仙女，态度热心，选的颜色真的好适合我！爱撩爱撩。,颜色分类:M119湘妃绣（胡萝卜色）
680,送给女朋友的礼物不二之选！,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
681,很好 很满意 包装也很满意 以后还会回购的 谢谢店家说的礼物,颜色分类:M119湘妃绣（胡萝卜色）
682,拿回来就打开试用了一下，颜色是我喜欢的颜色，支持国货😊,颜色分类:M602西子绣（半哑偏润草莓色）
683,东西很好很喜欢下次再来.,颜色分类:M116彤心绣（烂番茄色）
684,第一次入手花西子的口红，口红上的浮雕太美了，颜色也非常衬肤色，爱了爱了,颜色分类:M115御宫绣（复古红）
685,太好了吧  包装都不舍得扔  爱了爱了,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
686,包装非常用心 防摔防高温,颜色分类:M408子期绣（红柚豆沙）
687,真的特别好用，包装盒等都特别好,颜色分类:M122绛仙绣（红棕焦糖）
688,物流很快，宝贝收到打开一看很精致，有品味非常满意,颜色分类:M407玉棠绣（微糖豆沙）
689,整体评价：第一次购买，感觉一切都很满意。发货快，物流快。还有生物冰袋，好强大的包装，用心了。 保湿效果：夏天都是亮亮的。,颜色分类:M117红鸾绣（正红色）
690,太完美了，包装如此精致，特别高大上，还送了赠品，,颜色分类:M119湘妃绣（胡萝卜色）
691,太完美了，包装如此精致，特别高大上，还送了赠品，,颜色分类:M116彤心绣（烂番茄色）
692,颜色很漂亮，等天气凉快点就可以用了。喜欢这个颜色，超显气质显白,颜色分类:M116彤心绣（烂番茄色）
693,包装保护得很好，口红颜色很nice，还送了一张卸妆湿巾，素颜涂407这个颜色很自然.119的颜色送人了,颜色分类:M119湘妃绣（胡萝卜色）
694,口红包装非常好，打开满满的仪式感，卖家服务态度也很好,颜色分类:M122绛仙绣（红棕焦糖）
695,雕花非常好看的，颜色也很好看。,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
696,口红上的雕花好好看，超级美。,颜色分类:M116彤心绣（烂番茄色）
697,真的特别好。。是我用最好的口红,颜色分类:M115御宫绣（复古红）
698,挺好的买给女朋友的，女朋友很开心,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
699,发货速度很快哦，还有客服音云小姐姐服务我很好，帮我解决问题，产品检查了没有瑕疵，还有教学视频，十分满意！！,颜色分类:M119湘妃绣（胡萝卜色）
700,这款口红买过很多次了，这个颜色厂里漂亮，显肤色，喜欢😍,颜色分类:M119湘妃绣（胡萝卜色）
701,口红包装精美 一如既往的好 送给妈**红棕色妈妈很喜欢 里面还贴心的给加了冰袋防止口红化掉,颜色分类:M122绛仙绣（红棕焦糖）
702,好看！壮哉我大剑三！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
703,联名款get&radic;这次又是万年红棕党的胜利✌ 名字相思锈也好好听！！有我们长歌那味儿了✨本咕快乐了！就是天热了微微有点热化了&hellip;不过幸好只是底部微微糊，不然可能会心疼*,颜色分类:【剑网3比翼相思联名】 M122 相思绣
704,真的超级超级超级喜欢，从快递盒子到小礼品到口红，都爱了爱了爱了,颜色分类:M122绛仙绣（红棕焦糖）
705,整体评价：口红颜色很好看，上色均匀，很显白，五星好评。,颜色分类:M122绛仙绣（红棕焦糖）
706,还没用呢，七夕送老婆的,颜色分类:M407玉棠绣（微糖豆沙）
707,AI试色是玩了很久，这个颜色最好看，到手后真的跟试色不同，薄涂还行，厚涂真的没法看。,颜色分类:M118丹璃绣（红莓色）
708,整体评价：好看！！！之前一直看李佳琦直播种草，但是一直没剁手，这次联名，果断入了！！！好好看啊！！！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
709,真空包装还有冰袋护航，包装很美，很喜欢。,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
710,送人很漂酿，朋友很喜欢，包装很精美，快递很给力,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
711,买给闺蜜的，她超爱！！！就是天太热口红有点融化，试的时候不小心弄断了一点😂,颜色分类:【剑网3比翼相思联名】 M122 相思绣
712,口红很漂亮呀，喜欢喜欢😍,颜色分类:M123伯牙绣（宝石樱红）
713,这个颜色挺粉嫩的，用起来挺滋润，也不会疯狂掉色，这个价位能买到很可以！希望再多一点点颜色，感觉目前有的色号都比较正,颜色分类:M407玉棠绣（微糖豆沙）
714,不错，低调，知性，适合上班涂。,颜色分类:M406檀心绣（豆沙色）
715,口红收到了还算可以的,颜色分类:M117红鸾绣（正红色）
716,因为是给闺蜜买的生日礼物，里面不太方便吵开来，但是真的绝好吧，花西子家的就是可远观而不可亵玩焉😂,颜色分类:【剑网3比翼相思联名】 M122 相思绣
717,整体非常好，膏体雕花很精致，涂上颜色很好看，润润的不拔干，五星好评！,颜色分类:M116彤心绣（烂番茄色）
718,口红还不错 就是融化了,颜色分类:M407玉棠绣（微糖豆沙）
719,包装的很严实，很有价值感，,颜色分类:M408子期绣（红柚豆沙）
720,挺不错的 看看女朋友喜不喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
721,喜欢了好久  现在终于买下  嘿嘿  好好看哦  超级喜欢,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
722,外壳很美观，雕工细致,颜色分类:M117红鸾绣（正红色）
723,超美的口红，个人很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
724,闺蜜很喜欢😊，说挺润的，好评。,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
725,货到了，好不好我也不知道反正感觉是挺可以的我一个男的也不懂这些，色号这个啥的还是临时问我姐的，给女朋友买的反正她喜欢就好,颜色分类:M117红鸾绣（正红色）
726,产品特别好  就是冰袋漏了整个包裹都湿了  拿到的时候纸箱都软塌塌的  其他都特别好,颜色分类:M116彤心绣（烂番茄色）
727,此用户没有填写评论!,颜色分类:M407玉棠绣（微糖豆沙）
728,联名口红雕花一绝！i了i了～,颜色分类:【剑网3比翼相思联名】 M122 相思绣
729,包装很好发过来没有什么破损 内包装也可以口红和礼盒也是单独包装这样的包装给💯 礼盒也很漂亮送给女朋友一个定很棒没有一个女孩会拒绝口红吧😂😂,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
730,送朋友礼物，她很喜欢,颜色分类:M119湘妃绣（胡萝卜色）
731,特别好，颜色也很好看，物美价廉。￼￼,颜色分类:【剑网3比翼相思联名】 M122 相思绣
732,整体评价：好 保湿效果：好 唇膏质地：好 实物颜色：很好,颜色分类:M119湘妃绣（胡萝卜色）
733,口红收到了，快递是顺丰，顺丰的速度和服务就不用我说了，超赞👍包装也很用心，第一次看到口红上的雕花，被其所吸引了，我拍了两支，花西子品牌做的真的很好。,颜色分类:M119湘妃绣（胡萝卜色）
734,口红颜色喜欢，适合接下来的秋冬季节使用，卖家很用心，还有冰袋附加快递，谢谢水星的耐心推荐，喜欢这款颜色的亲，可以放心的拍！,颜色分类:M116彤心绣（烂番茄色）
735,已经买了三支了，非常好用，个人特别喜欢，而且性价比也很高，花西子值得推荐！送的粉黛盒很精致，谢谢啦！,颜色分类:M408子期绣（红柚豆沙）
736,我是个男的，给女朋友买七夕礼物，那个客服小姐姐，好像叫慕青是个小可爱吧，服务很不错，帮我挑了，然后东西没拆呢，不过看起来很棒，还送了卸妆棉,颜色分类:M119湘妃绣（胡萝卜色）
737,整体评价：太美了，之前买的妆奁，带来一支126色很好看，用过之后觉得非常好，这次又入手三支雕花 保湿效果：很好 唇膏质地：润 上嘴效果：显色度很好 实物颜色：太漂亮了,颜色分类:M116彤心绣（烂番茄色）
738,挺不错的 也比较有特色 就是送人的 没手提袋 看起来比较单调,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
739,整体评价：非常满意 保湿效果：很润 上嘴效果：很亮 实物颜色：很正,颜色分类:M119湘妃绣（胡萝卜色）
740,特别好，没让我失望，真的很赞的，可以入手！！！！！,颜色分类:M116彤心绣（烂番茄色）
741,产品很好，包装也很漂亮,颜色分类:【剑网3比翼相思联名】 M122 相思绣
742,整体评价：非常好 买给朋友的生日礼物很喜欢，颜色很正,颜色分类:M116彤心绣（烂番茄色）
743,一开始的散粉 现在的口红 包装很好看 花西子真的很对得起这个价位 爱啦,颜色分类:M122绛仙绣（红棕焦糖）
744,太爱了，以前化妆品都不敢在网上买，都是代购好贵，太爱花西子的了，花西子值得信赖，收到宝贝迫不及待的用上感觉能够瘦脸，一上妆就很喜欢，妆持久,颜色分类:M408子期绣（红柚豆沙）
745,不容易掉色 颜色也挺正的 很漂亮 沉甸甸有手感,颜色分类:M124知音绣（栗子红棕）
746,很有质感，东西不错,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
747,很精致，女朋友很喜欢,颜色分类:M407玉棠绣（微糖豆沙）
748,很漂亮，女朋友很喜欢,颜色分类:M122绛仙绣（红棕焦糖）
749,女朋友很喜欢，很好看,颜色分类:M122绛仙绣（红棕焦糖）
750,整体评价：满意 保湿效果：还行 唇膏质地：还行 上嘴效果：好看 实物颜色：好看色差不大  其实是送闺蜜的，很满意,颜色分类:M602西子绣（半哑偏润草莓色）
751,超级好用，颜色比很多大牌都好看，而且很滋润，一点都不干。这次是在夏天购买，包装更是用心，用了冰包，不用担心口红化掉，超级赞。,颜色分类:M117红鸾绣（正红色）
752,包装很好，还有冰袋，颜色也不错，很温柔的感觉,颜色分类:M407玉棠绣（微糖豆沙）
753,很好看的一只口红，质地颜色什么的都超级的棒，花西子真的让我很惊喜,颜色分类:M123伯牙绣（宝石樱红）
754,宝贝收到了，是我喜欢的颜色，非常满意！,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
755,颜色很好，也比较适合我，很润，和我三百块钱的口红相比，没感觉有啥不一样噢，推荐购买,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
756,收到后满满的仪式感，质地丝滑，保湿效果很好，薄涂厚涂都很漂亮，是我想要的,颜色分类:M119湘妃绣（胡萝卜色）
757,整体评价：挺好的,颜色分类:M122绛仙绣（红棕焦糖）
758,整体评价：很好,颜色分类:M116彤心绣（烂番茄色）
759,整体评价：口红特别好，l客服  念露小可爱特别的细心，帮忙解答口红的问题，快递也很快 保湿效果：保湿效果老婆说很不错 唇膏质地：好看 上嘴效果：滋润 实物颜色：好,颜色分类:M119湘妃绣（胡萝卜色）
760,很精致，很绝美哦。包装很精致绝美哦,颜色分类:M119湘妃绣（胡萝卜色）
761,宝贝很好，她很喜欢！客服灯柒服务也很好，很耐心的解决问题，帮忙选色号，非常感谢！,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
762,此用户没有填写评论!,颜色分类:M122绛仙绣（红棕焦糖）
763,送朋友的，真的不错，精致又大气，口红显白。蛮好的。,颜色分类:M116彤心绣（烂番茄色）
764,整体评价：很不错 保湿效果：很好， 上嘴效果：很不错 实物颜色：很漂亮,颜色分类:M407玉棠绣（微糖豆沙）
765,口红重量也不轻，而且很好看的雕刻口红，出了月子用。做个美丽的妈妈,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
766,整体评价：包装精美 保湿效果：湿润，易涂 唇膏质地：好 上嘴效果：自然 实物颜色：无色差,颜色分类:M407玉棠绣（微糖豆沙）
767,爱啦爱啦！绝对的支持国货！太好看了，外观好看，使用也特别滋润！真心喜欢，随后还买了粉饼！打算再购入其他产品试试 上嘴效果：特别棒，滋润不腻，而且还有些哑光 唇膏质地：滋润，不干皮 保湿效果：不错👍 实物颜色：颜色没有色差！,颜色分类:M119湘妃绣（胡萝卜色）
768,整体评价：包装设计很好看 上嘴效果：颜色好看 滋润,颜色分类:M121凤鸾绣（经典正红色）
769,此用户没有填写评论!,颜色分类:M407玉棠绣（微糖豆沙）
770,到货啦，口红包装非常好 ，满意！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
771,朋友很喜欢，色号很好，另外客服也很热情呀,颜色分类:M116彤心绣（烂番茄色）
772,颜色很漂亮很喜欢,颜色分类:M123伯牙绣（宝石樱红）
773,颜色太喜欢了，而且滋润，而且口红非常好看，外壳也好看，磁石的设计太喜欢了。,颜色分类:M116彤心绣（烂番茄色）
774,好容易软化不知道是不是天气的原因。我买来第二天就花纹就没了，第三天就一断了。不过颜色上嘴还是不错的。可惜了  我的心情也不好了,颜色分类:M119湘妃绣（胡萝卜色）
775,好看，太漂亮了☺☺果然没有错付，颜色也超级好看，包装太高级了,颜色分类:M119湘妃绣（胡萝卜色）
776,实物颜色：颜色很好看,颜色分类:M115御宫绣（复古红）
777,期待，看起来不错,颜色分类:M406檀心绣（豆沙色）
778,送给老婆 老婆很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
779,迫不及待打开看看能不能找到秀坊的雕花！～,颜色分类:【剑网3比翼相思联名】 M122 相思绣
780,整体评价：很不错 保湿效果：保湿很好 实物颜色：不失望,颜色分类:M116彤心绣（烂番茄色）
781,今天刚刚收到，产品包装很精致，也非常喜欢口红上的雕花，很精致上档次，送朋友也可以,颜色分类:M408子期绣（红柚豆沙）
782,整体评价：颜色很正很好看，整体非常的高端大气，快递包装也很好，还有冰袋，非常到位。,颜色分类:M116彤心绣（烂番茄色）
783,很赞，超漂亮,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
784,包装超精致，还有小赠品，太爱了，口红送人的，没有打开，总体很满意👏👏,颜色分类:M122绛仙绣（红棕焦糖）
785,一个口红的包装也太漂亮了，还有冰袋降温防止口红融化，,颜色分类:M117红鸾绣（正红色）
786,颜色很显白，腮红比较复古 我专门买的红色,颜色分类:M119湘妃绣（胡萝卜色）
787,送人的，很好看，颜色很漂亮 保湿效果：好 上嘴效果：棒 实物颜色：好看,颜色分类:M123伯牙绣（宝石樱红）
788,最初接触花西子是蜜粉已经用了两盒，第一次购买花西子口红，没有失望，非常感谢！使用后再追加评论！,颜色分类:M122绛仙绣（红棕焦糖）
789,颜色偏暗红，有点像姨妈色，保湿不错，半哑光，雕花很美，中国风很漂亮。我肤色黑，厚涂不显白，浅涂还不错。包装很仔细，还有冰袋，喜欢！,颜色分类:M116彤心绣（烂番茄色）
790,质量特别的好，没得说，比MAC的都好，而且口红里面就像有鎏金是的，看上去闪闪的,颜色分类:M602西子绣（半哑偏润草莓色）
791,很好看的，妈妈很喜欢,颜色分类:M115御宫绣（复古红）
792,膏体挺软的，颜色也不错，就是品控不太行，送来就有一侧贴着边了？雕花都被蹭掉了一点,颜色分类:【剑网3比翼相思联名】 M122 相思绣
793,客服态度很好 口红是冰袋运输也不错 但是我收到的口红还是出了点问题 第一，口红内壁上挂红，让人怀疑会是二次加工后售卖 第二，口红上没有花西子图标的标志 希望是我想多了，也希望别人不会有我的这种糟糕体验,颜色分类:M115御宫绣（复古红）
794,嗯！我的宝宝很喜欢😎,颜色分类:【剑网3比翼相思联名】 M122 相思绣
795,容易上色，比好多牌子的油性大，但是又不是容易脱色的那种感觉，还不错,颜色分类:M115御宫绣（复古红）
796,上嘴效果：很好看显白！ 物流很快派送到家我很满意！雕花很高级，女朋友很喜欢哈哈,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
797,有一说一，我找了半天才找到我长歌门😂,颜色分类:【剑网3比翼相思联名】 M122 相思绣
798,还好吧，挺滋润的。但是感觉408色号不是特别显肤色,颜色分类:M408子期绣（红柚豆沙）
